Name,Description,Price,CL,Strength,URL
Prayer Wheel of Ethical Strength,"Sacred or profane mantras cover the outer face of this cylindrical wooden block, which rotates around a decorative brass spindle. By holding the spindle in one hand while meditating or resting to regain ki, the bearer may attune his ki points to the wheel. Once attuned, the bearer's ki strikes count as good (if the wheel has sacred mantras) or evil (if the wheel has profane mantras) instead of lawful for the purpose of overcoming damage reduction. This lasts until the next time the bearer rests or meditates to regain ki points. A creature can only be attuned to one prayer wheel at a time, and a prayer wheel can only be attuned to one person at a time. Only creatures who can make lawfully-aligned ki strikes can use a prayer wheel.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/prayer-wheel-of-ethical-strength
"Slippers, Quick Action","The wearer of a pair of quick action slippers may stand up from prone as a free action. Such movement still provokes attacks of opportunity as normal. If the wearer has the stand up rogue talent, the act of standing up from prone no longer provokes attacks of opportunity.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/slippers-quick-action
"Stone, Missive","These two small, polished pieces of black rock dangle from simple silver chains and are covered in dozens of tiny arcane symbols etched in red paint. Missive stones are always created in pairs. When you and another person each wear one of the stones, you can send whispered messages to each other as long as you are no more than 3 miles apart.","10,000 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/stone-missive
"Tattoo, Weapon","This tattoo can store one weapon, sized for the bearer of the tattoo. When no weapon is stored, the tattoo takes the form of an empty sword sheath. When a weapon is stored within the tattoo, it takes the form of the weapon so stored. Storing a weapon in the tattoo is a full-round action, but removing a weapon from the tattoo is only a swift action. This tattoo can only be put on one of the bearer's arms (preventing the other arm from receiving another tattoo), and the weapon automatically appears in the hand of the arm it is tattooed upon. If that hand is not free, the weapon cannot be summoned. If the bearer is tightly constrained in an area too small for the weapon to appear without damaging something, the weapon cannot be summoned. If the tattoo is destroyed while a weapon is in it, the weapon falls to the ground in a random space adjacent to the bearer of the tattoo.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/tattoo-weapon
Treasurer's Seal,"Six inches in diameter, one side of this porcelain seal shows a many-keyholed padlock, while the other displays a lightning bolt superimposed on an open hand. The padlock side is used to lock and alarm doors, chests, and other portals. The bearer may speak a command word to activate it when holding it against a lockable item. If the padlock side of the seal is touching the item, it bestows an alarm (mental alarm) and arcane lock on the target item. If the lightning bolt side of the seal is touching the item, it casts fire trap on the lock (the seal must be held to the lock for 10 minutes to use this ability). A creature carrying the seal can speak a command word to suspend its effects on an item for 1 minute. This ability is usable at will, but only works on effects created by that specific seal. The seal can be used at will but can only maintain effects on three items at any given time. Using it on a fourth item automatically negates the oldest effect.","10,000 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/treasurer-s-seal
Amulet of Spell Cunning,This silver locket only has power when used as a wizard’s bonded object. It allows a wizard to prepare an additional 3 levels of spells per day.,"10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-spell-cunning
Amulet of the Blooded (Destined),"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Destined: This chunk of uncut quartz hangs on a platinum chain. The wearer gains a +2 luck bonus on all saving throws and to AC during surprise rounds or any time he is otherwise unaware of an attack. Once per day, the wearer can reroll one attack roll, critical hit confirmation roll, or caster level check to overcome spell resistance. He must decide to use this ability after the first roll is made but before the result is revealed. He must take the second result, even if it's lower.  ]","10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded
Amulet of the Blooded (Fey),"Each different type of amulet of the blooded grants its wearer powers from one sorcerer bloodline, but makes him vulnerable to attacks and effects that target creatures with the appropriate bloodline (such as a blood-hunting weapon). If a creature that already has the associated bloodline wears the amulet, the wearer does not gain the abilities listed below; instead, the effective level of his bloodline powers increases by 2. This effect does not stack with other abilities that increase the effective level of bloodline powers. [  Fey: This drop of amber hangs on a silk cord. The wearer can turn invisible for 9 rounds per day (as greater invisibility). The rounds don't need to be consecutive. Three times per day, the wearer can make a melee touch attack to cause a creature to burst out laughing. That creature can take only a move action, but can defend itself normally. Once a creature has been affected by this laughter, it is immune to it for 24 hours. This is a mind-affecting effect.  ]","10,000 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-blooded
Amulet of the Spirits (Flames),"Each different type of amulet of the spirit grants its wearer powers from one type of shaman spirit bond, but makes her vulnerable to attacks and effects that target creatures with that spirit bond (such as a spirit-hunting weapon). If a creature that already has the associated mystery or spirit wears the amulet, that wearer does not gain the abilities listed below; instead, the effective level of her mystery or spirit powers increases by 2. This effect does not stack with other abilities that increase the effective level of mystery or spirit powers. [  Flame: This amulet is a single fire opal hanging from a chain of brass. Twice per day as a swift action, the wearer can activate a fire ward. The next time she is struck with a melee weapon, the creature making the attack takes 1d6+4 points of fire damage. The ward lasts for 1 minute, after which it fades away if not expended. In addition, twice per day as a swift action the wearer can cause a creature within 30 feet to become vulnerable to fire until the end of the wearer's turn. Whenever the creature takes fire damage, it takes half again as much damage (+50%). If the creature is already vulnerable to fire, this hex has no effect. Fire immunity and resistances apply as normal, and any saving throw allowed by the effect that caused the damage reduces it as normal.  ]","10,000 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-spirits
Amulet of the Spirits (Stone),"Each different type of amulet of the spirit grants its wearer powers from one type of shaman spirit bond, but makes her vulnerable to attacks and effects that target creatures with that spirit bond (such as a spirit-hunting weapon). If a creature that already has the associated mystery or spirit wears the amulet, that wearer does not gain the abilities listed below; instead, the effective level of her mystery or spirit powers increases by 2. This effect does not stack with other abilities that increase the effective level of mystery or spirit powers. [  Stone: This rounded river rock hangs from a copper chain. Once per day as a swift action, the wearer can activate a ward of stone, granting herself DR 5/adamantine against the next two melee attacks against her. This ward lasts for 1 minute, after which it fades away if not expended. In addition, once per day as a swift action the wearer can cause a creature within 30 feet to become slightly magnetic; this effect lasts for 2 rounds. Whenever the creature is attacked by a melee or ranged weapon made primarily of metal, it takes a –4 penalty to AC.  ]","10,000 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-spirits
Amulet of the Spirits (Waves),"Each different type of amulet of the spirit grants its wearer powers from one type of shaman spirit bond, but makes her vulnerable to attacks and effects that target creatures with that spirit bond (such as a spirit-hunting weapon). If a creature that already has the associated mystery or spirit wears the amulet, that wearer does not gain the abilities listed below; instead, the effective level of her mystery or spirit powers increases by 2. This effect does not stack with other abilities that increase the effective level of mystery or spirit powers. [  Waves: This amulet is a small conch hanging from a cord of woven seaweed. Once per day as a swift action, the wearer can activate a ward of mist, granting herself concealment as the blur spell. The mist dissipates after it causes two attacks to miss because of concealment or after 1 minute, whichever comes first. In addition, as a swift action once per day the wearer can cause one creature within 30 feet to become more susceptible to the sapping powers of cold for 1 minute. When a creature takes cold damage while under this effect, it is entangled for 1 round. If the creature takes cold damage while already entangled by this effect, the duration of the entangled condition increases by 1 round.  ]","10,000 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-of-the-spirits
Bag of Concealment (II),"A bag of concealment appears to be a common leather sack with a shoulder strap, about 2 feet by 4 feet in size. The bag behaves as a bag of holding, with all the same carrying capacities according to size (it can hold 500 lbs in 70 cubic ft), except for a few key points. Each bag of concealment is keyed to a specific owner upon creation (and can only be keyed to one person at a time)—should the bag’s owner be killed, it becomes keyed to the next person to open it (the currently keyed person can also relinquish this status as a standard action, allowing another creature to become keyed to the bag by opening it). Only the person a bag of concealment is keyed to may access its contents. Any others who look in the bag see only the inside of an empty sack, with dimensions matching the bag’s outside measurements, as the true contents are kept separate and undetectable in the bag’s magical pocket dimension. Should anything be placed in the empty bag by someone other than the owner, the goods that have been shunted to the pocket dimension cannot be accessed unless the new item is removed. A bag of concealment registers as non-magical unless successfully identified, as per a permanent version of the spell magic aura. The mouth of a bag of concealment can be stretched to up to four times its normal width, so larger goods may be hidden inside.","10,000 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-concealment
Bag of Holding (IV),"This appears to be a common cloth sack about 2 feet by 4 feet in size. The bag of holding opens into a nondimensional space: its inside is larger than its outside dimensions. It can hold 1500 lbs. in 250 cubic ft.. If a bag of holding is overloaded, or if sharp objects pierce it (from inside or outside), the bag immediately ruptures and is ruined, and all contents are lost forever. If a bag of holding is turned inside out, all of its contents spill out, unharmed, but the bag must be put right before it can be used again. If living creatures are placed within the bag, they can survive for up to 10 minutes, after which time they suffocate. Retrieving a specific item from a bag of holding is a move action, unless the bag contains more than an ordinary backpack would hold, in which case retrieving a specific item is a full-round action. Magic items placed inside the bag do not offer any benefit to the character carrying the bag. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in the space: bag and hole alike are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane: the hole, the bag, and any creatures within a 10-foot radius are drawn there, destroying the portable hole and bag of holding in the process. ** Editor's Note: Bag of Holding refers to the space inside as 'non-dimensional' whereas the rules on extradimensional spaces explicitly refer to bags of holding as examples of extradimensional spaces. **","10,000 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bag-of-holding
"Baldric, Bane","This ornate sash of embroidered velvet stretches across the chest from shoulder to waist. If the wearer is an inquisitor, she is treated as five levels higher when using her bane and greater bane abilities . If the wearer is not an inquisitor, she gains the bane ability of a 5th-level inquisitor, but must first attune a light or one-handed melee weapon to the baldric by hanging it from the cloth for 24 hours, and can only use the bane ability with the attuned weapon. Attuning a new weapon to the baldric ends the attunement for the previous weapon.","10,000 ",10,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/baldric-bane
"Banner, Lord's (Swiftness)","A lord's banner is a cloth flag or standard, typically at least 2 feet wide and 4 feet long (though some are up to twice that size), meant to be carried and displayed on a lance, polearm, frame, or staff. It has no effect when not mounted properly or when laying on the ground. It normally depicts the insignia or heraldic symbol of a particular noble. A lord's banner may be carried (on foot or mounted) or planted. In the latter case, the banner does not need a bearer, but if it is toppled or touched by an enemy, it loses its effectiveness until reclaimed and replanted by allies of its owner. ** Swiftness: A group or army that are traveling under a lord's banner of swiftness can make a forced march without needing Constitution checks or suffering any nonlethal damage from doing so, allowing them to cover great distances while still arriving ready to do battle. This ability affects all allied creatures within 1 mile as long as they are able to see the banner at least once a day.","10,000 ",10,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/banner-lord-s
Belt of the Weasel,"This surprisingly soft belt has an absurdly large buckle, made even more absurd by the fact that it’s crafted in the shape of a smiling weasel’s face. It grants its wearer a +2 enhancement bonus to Dexterity, and the ability to move at half normal speed while prone. Treat the enhancement bonus to Dexterity as a temporary ability bonus for the first 24 hours the belt is worn. The wearer does not take a penalty on melee attack rolls or to AC against melee attacks while prone. Additionally, the wearer gains the compression ability.","10,000 ",4,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/belt-of-the-weasel
Belt of Thunderous Charging,"An engraving of a charging rhinoceros decorates this thick leather belt. The belt grants its wearer a +2 enhancement bonus to Strength. Treat this as a temporary ability bonus for the first 24 hours the belt is worn. The belt magnifies the wearer’s momentum whenever she charges, granting her a +2 bonus on bull rush and overrun maneuvers. Furthermore, when the wearer makes a charge attack, her melee weapons and natural weapons deal damage as if they were one size category larger than they actually are.","10,000 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/belt-of-thunderous-charging
"Boots, Bogstrider","These soft leather boots smell strongly of marsh gas, and leave faint wet prints behind even when they're dry. Despite these aesthetic flaws, bogstrider boots are of great use in areas of swampy terrain. They provide the wearer the ability to move without penalty in squares of shallow or deep bog, and the DCs of Acrobatics checks attempted by the boots' wearer are unchanged in squares of shallow bog. In addition, three times per day when the wearer takes a charge or withdraw action, she can increase her speed by 60 feet for 1 round.","10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/boots-bogstrider
Boundary Chalk,"The surface of this stick of white chalk is covered with silvery runes. Drawing a line with the chalk creates a wall of force that is as long as the line and extends 10 feet perpendicular to the surface on which the line was drawn. Drawing a 5-foot line is a standard action that provokes acts of opportunity. Each wall lasts 10 minutes; the bearer of the chalk can dismiss a section of wall as a swift action by touching the stick of chalk to it. One stick of boundary chalk can draw 100 feet of line before it is used up, and it must be used in 5-foot increments.","10,000 ",10,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/boundary-chalk
Chime of Resounding SIlence,"This foot-long tube of gold absorbs nearby sound when struck, as if it were the target of a silence spell. This ability can be used once per day. The chime vibrates silently for the next 5 rounds, increasing in strength as time passes. On the bearer's turn each round there is a cumulative 20% chance that the chime prematurely ends the magical silence and releases the pent-up sound as a shout spell as a free action, oriented in a random direction. The bearer may spend a standard action to strike the vibrating chime again, ending its silence early and unleashing the shout in a direction of his choosing. If dropped while vibrating, the chime automatically gains the broken condition and releases the shout effect in a random direction. A broken chime of resounding silence cannot be used until it is repaired. The chime has no effect if struck in an area of silence it did not create.","10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/chime-of-resounding-silence
"Cloak, Cocoon","This ruffled silk cloak is incredibly durable despite its soft, delicate construction. Anytime the wearer falls asleep (whether the sleep is natural or brought on by a magical effect), the cloak immediately transforms into sticky strands that envelop the wearer’s body, hardening into a solid silk cocoon. While wrapped in the cocoon the wearer gains a +4 enhancement bonus to natural armor and is protected from critical hits and sneak attacks as if subject to the light fortification armor ability (25% chance for normal damage on a critical hit). The cocoon opens and transforms back into a cloak once the wearer awakens.","10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/cloak-cocoon
Collar of the True Companion,"Although it appears to be a simple thong of leather, this collar was initially conceived by druids who believed that there were animals who possessed spirits worthy of elevation to true sentience. If worn by a creature of the animal type with an Intelligence less than 3, a collar of the true companion grants a +2 enhancement bonus to Intelligence. This does not give the animal the ability to speak, but it does allow it to understand one spoken language (chosen by the item’s creator). If the collar is worn for at least 1 week by a creature of the animal type, the creature is raised to humanlike sentience, as though by the awaken spell. Once this occurs, the collar loses its magical properties. If a collar of the true companion is worn for more than 1 week by a creature not of the animal type, the wearer is feebleminded until the collar is removed.","10,000 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/collar-of-the-true-companion
Construct Channel Brick,"This solid red brick changes its shape to match its bearer's holy symbol. If the bearer has the channel energy class feature, she can focus her power on the brick, allowing her to repair damaged constructs and objects as if they were living creatures. The item works whether the bearer channels positive or negative energy. If the bearer has the artifice domain, she adds +2d6 points of damage to her channel energy result when repairing constructs and objects.","10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/construct-channel-brick
Earth Child Faceguard,"An earth child faceguard is designed to refine the wearer's focus when fighting giants. The wearer gains the benefits of Earth Child Style, regardless of whether she meets the prerequisites. If the wearer does not possess the defensive training racial trait, the dodge bonus to AC against giants is reduced to +2. If the wearer already possesses the Earth Child Style feat, she can enter the earth child stance as a free action.","10,000 ",10,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/earth-child-faceguard
Eldritch Egress,"This cunningly designed bundle of wooden slats unfolds and interlocks to form a 3-foot-by-3-foot frame. Once per day you may place the unfolded frame upon a solid surface to form a passage up to 10 feet deep, as if using a passwall spell. The passageway lasts for 1 hour unless the frame is removed earlier. Folding or unfolding the frame is a full-round action that provokes attacks of opportunity. Using the unfolded frame to create a passage is a standard action. Medium or smaller creatures can easily pass through the tunnel, while Large creatures require an Escape Artist check. The eldritch egress can only be removed from outside the surface it was placed on, so careful planning is required when using it.","10,000 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/eldritch-egress
Embalming Thread,"This coarse, acrid-smelling thread is more akin to wire than fabric. When carefully sewn into the body of a flesh golem or zombie (requiring 1 hour per Hit Die of the creature and a successful DC 20 Heal or Spellcraft check), the stitches change the creature's damage reduction to DR 5/adamantine and slashing. Variant zombies lacking damage reduction (such as fast zombies) instead gain DR 5/slashing. One length of stitching is required for every Hit Die of the creature being enhanced. Using an insufficient number of lengths has no effect. A full thimble of embalming thread contains 20 lengths. If the skill check to use the stitches fails, they are not wasted, but must first be cleaned and unknotted, requiring 1 hour per stitch. Once used successfully, the stitches cannot be reused.","10,000 ",7,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/embalming-thread
Eye of the Void,"The eye of the void normally appears to be a small black glass or crystal ball 3 to 4 inches in diameter. However, when commanded to open, the eye reveals itself as the terrifying, multi-pupilled eye of some abomination from the dark spaces between the stars. Once per day, the bearer may hold the eye and speak one of two command words to open the eye. The first word creates a gaze effect in a 30-foot cone. The second word creates a gaze effect in a 15-foot sphere. Each creature subject to the gaze must make a DC 16 Will save; success means the creature is shaken for 1 minute, failure means it becomes frightened for 1 minute and takes 1d6 points of Wisdom damage. This is a mind-affecting fear effect.","10,000 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/eye-of-the-void
Hexing Runes,"These runes may be carved from wood or cast in silver and are worn on a leather cord. When a witch prepares her spells, she may also choose to use the hexing runes to augment one hex she can use. The save DC of this hex increases by 1 for 24 hours. Additionally, once per day when she speaks the command word, the wearer gains the benefits of the ward hex as if cast by an 8th level witch.","10,000 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/hexing-runes
